,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2023,Senior Level,Full-time,Top Level Management,80000,EUR,85847,ES,Full-Remote,ES,Large
1,2023,Mid Level,Contractor,Machine Learning,30000,USD,30000,US,Full-Remote,US,Small
2,2023,Mid Level,Contractor,Machine Learning,25500,USD,25500,US,Full-Remote,US,Small
3,2023,Senior Level,Full-time,Data Science,175000,USD,175000,CA,Full-Remote,CA,Medium
4,2023,Senior Level,Full-time,Data Science,120000,USD,120000,CA,Full-Remote,CA,Medium
5,2023,Senior Level,Full-time,Data Science,222200,USD,222200,US,On-Site,US,Large
6,2023,Senior Level,Full-time,Data Science,136000,USD,136000,US,On-Site,US,Large
7,2023,Senior Level,Full-time,Data Science,219000,USD,219000,CA,On-Site,CA,Medium
8,2023,Senior Level,Full-time,Data Science,141000,USD,141000,CA,On-Site,CA,Medium
9,2023,Senior Level,Full-time,Data Science,147100,USD,147100,US,On-Site,US,Medium
10,2023,Senior Level,Full-time,Data Science,90700,USD,90700,US,On-Site,US,Medium
11,2023,Senior Level,Full-time,Data Analyst,130000,USD,130000,US,Full-Remote,US,Medium
12,2023,Senior Level,Full-time,Data Analyst,100000,USD,100000,US,Full-Remote,US,Medium
13,2023,Entry Level,Full-time,Data Science,213660,USD,213660,US,On-Site,US,Large
14,2023,Entry Level,Full-time,Data Science,130760,USD,130760,US,On-Site,US,Large
15,2023,Senior Level,Full-time,Data Architecture,147100,USD,147100,US,On-Site,US,Medium
16,2023,Senior Level,Full-time,Data Architecture,90700,USD,90700,US,On-Site,US,Medium
17,2023,Senior Level,Full-time,Data Science,170000,USD,170000,US,On-Site,US,Medium
18,2023,Senior Level,Full-time,Data Science,150000,USD,150000,US,On-Site,US,Medium
19,2023,Mid Level,Full-time,Data Analyst,150000,USD,150000,US,Full-Remote,US,Medium
20,2023,Mid Level,Full-time,Data Analyst,110000,USD,110000,US,Full-Remote,US,Medium
21,2023,Senior Level,Full-time,Data Science,275000,USD,275000,DE,On-Site,DE,Medium
22,2023,Senior Level,Full-time,Data Science,174000,USD,174000,DE,On-Site,DE,Medium
23,2023,Senior Level,Full-time,Data Analyst,230000,USD,230000,GB,Full-Remote,GB,Medium
24,2023,Senior Level,Full-time,Data Analyst,143200,USD,143200,GB,Full-Remote,GB,Medium
25,2023,Senior Level,Full-time,Data Analyst,225000,USD,225000,US,On-Site,US,Medium
26,2023,Senior Level,Full-time,Data Analyst,156400,USD,156400,US,On-Site,US,Medium
27,2023,Senior Level,Full-time,Machine Learning,200000,USD,200000,US,On-Site,US,Medium
28,2023,Senior Level,Full-time,Machine Learning,130000,USD,130000,US,On-Site,US,Medium
29,2023,Senior Level,Full-time,Data Engineering,90000,USD,90000,CA,On-Site,CA,Medium
30,2023,Senior Level,Full-time,Data Engineering,72000,USD,72000,CA,On-Site,CA,Medium
31,2023,Senior Level,Full-time,Data Engineering,253200,USD,253200,US,On-Site,US,Medium
32,2023,Senior Level,Full-time,Data Engineering,90700,USD,90700,US,On-Site,US,Medium
33,2023,Senior Level,Full-time,Machine Learning,342810,USD,342810,US,On-Site,US,Medium
34,2023,Senior Level,Full-time,Machine Learning,184590,USD,184590,US,On-Site,US,Medium
35,2023,Mid Level,Full-time,Data Engineering,162500,USD,162500,US,On-Site,US,Medium
36,2023,Mid Level,Full-time,Data Engineering,130000,USD,130000,US,On-Site,US,Medium
37,2023,Mid Level,Full-time,Data Analyst,105380,USD,105380,US,On-Site,US,Medium
38,2023,Mid Level,Full-time,Data Analyst,64500,USD,64500,US,On-Site,US,Medium
